Adak	AK	51.91	-176.60
Akhiok	AK	56.95	-154.22
Akiachak	AK	60.92	-161.40
Akiak	AK	60.91	-161.22
Akutan	AK	54.14	-165.76
Alakanuk	AK	62.71	-164.65
Alatna	AK	66.56	-152.84
Alcan Border	AK	62.70	-141.19
Aleknagik	AK	59.29	-158.66
Aleneva	AK	58.06	-152.91
Allakaket	AK	66.54	-152.58
Ambler	AK	67.09	-157.89
Anaktuvuk Pass	AK	68.15	-151.70
Anchor Point	AK	59.75	-151.70
Anchorage	AK	61.17	-149.28
Anderson	AK	64.31	-149.16
Angoon	AK	57.44	-134.48
Aniak	AK	61.58	-159.55
Anvik	AK	62.63	-160.22
Arctic Village	AK	68.17	-145.40
Atka	AK	52.21	-174.21
Atmautluak	AK	60.86	-162.28
Atqasuk	AK	70.48	-157.33
Attu Station	AK	52.88	173.26
Badger	AK	64.80	-147.39
Bear Creek	AK	60.21	-149.37
Beaver	AK	66.38	-147.29
Beluga	AK	61.19	-151.18
Bethel	AK	60.79	-161.80
Bettles	AK	66.91	-151.54
Big Delta	AK	64.16	-145.74
Big Lake	AK	61.52	-149.98
Birch Creek	AK	66.27	-145.88
Brevig Mission	AK	65.34	-166.51
Buckland	AK	65.98	-161.14
Buffalo Soapstone	AK	61.68	-149.12
Butte	AK	61.53	-148.99
Cantwell	AK	63.41	-148.75
Central	AK	65.51	-144.62
Chalkyitsik	AK	66.65	-143.79
Chase	AK	62.42	-149.94
Chefornak	AK	60.15	-164.25
Chena Ridge	AK	64.79	-148.03
Chenega	AK	60.09	-147.99
Chevak	AK	61.53	-165.59
Chickaloon	AK	61.82	-148.29
Chicken	AK	64.09	-141.83
Chignik	AK	56.30	-158.39
Chignik Lagoon	AK	56.30	-158.50
Chignik Lake	AK	56.27	-158.79
Chiniak	AK	57.58	-152.28
Chisana	AK	62.11	-142.05
Chistochina	AK	62.60	-144.94
Chitina	AK	61.55	-144.18
Chuathbaluk	AK	61.57	-159.25
Circle	AK	65.84	-144.18
Clam Gulch	AK	60.21	-151.40
